Sinonimos	Ortologos
Pp3c11_24230	AT4G35780
Pp3c11_24230	AT2G17700
Pp3c11_24230	AT4G38470
Pp3c4_12510	AT3G28470
Pp3c24_8490	AT2G31160
Pp3c24_8490	AT3G23290
Pp3c17_23620	AT2G02060
Pp3c17_23620	AT2G38300
Pp3c1_10620	AT1G78610
Pp3c1_10620	AT1G53470
Pp3c1_10620	AT2G17000
Pp3c1_10620	AT3G14810
Pp3c10_20210	AT5G50170
Pp3c10_20210	AT1G03370
Pp3c7_200	AT3G06850
Pp3c3_810	AT1G49770
Pp3c25_3170	AT1G34670
Pp3c25_3170	AT3G01140
Pp3c25_3170	AT5G15310
Pp3c19_18310	AT1G49880
Pp3c3_660	AT1G01360
Pp3c3_660	AT2G38310
Pp3c3_660	AT4G27920
Pp3c3_660	AT2G40330
Pp3c3_660	AT5G05440
Pp3c3_660	AT5G53160
Pp3c3_660	AT4G01026
Pp3c13_15020	AT5G01460
Pp3c13_15020	AT3G08930
Pp3c4_24440	AT5G01520
Pp3c23_13280	AT3G18200
Pp3c23_13280	AT1G75500
Pp3c23_13280	AT3G53210
